Date,SPY,TLT
2021-12-31,446.8989562988281,126.28463745117188
2022-01-03,449.4864501953125,122.96963500976562
2022-01-04,449.3358459472656,122.45832061767578
2022-01-05,440.7076721191406,121.79361724853516
2022-01-06,440.2936706542969,122.1088638305664
2022-01-07,438.55291748046875,121.23113250732422
2022-01-10,438.00732421875,121.52942657470703
2022-01-11,441.9966125488281,122.33901977539062
2022-01-12,443.1917419433594,121.87028503417969
2022-01-13,437.0851135253906,122.95252990722656
2022-01-14,437.263916015625,121.09481811523438
2022-01-18,429.5201110839844,119.39044952392578
2022-01-19,425.0601501464844,120.21705627441406
2022-01-20,420.3555603027344,120.9584732055664
2022-01-21,412.1037292480469,122.39866638183594
2022-01-24,413.8538818359375,121.39305877685547
2022-01-25,408.8011169433594,121.19707489013672
2022-01-26,407.7755126953125,119.73133087158203
2022-01-27,405.7619934082031,121.93000030517578
2022-01-28,415.83917236328125,121.97254943847656
2022-01-31,423.328857421875,121.34195709228516
2022-02-01,426.18927001953125,120.93919372558594
2022-02-02,430.3293151855469,121.34879302978516
2022-02-03,420.2145080566406,120.40157318115234
2022-02-04,422.1904296875,118.62652587890625
2022-02-07,420.8354797363281,118.70332336425781
2022-02-08,424.29803466796875,117.90970611572266
2022-02-09,430.50811767578125,118.131591796875
2022-02-10,422.7737731933594,116.25416564941406
2022-02-11,414.4371337890625,117.97798156738281
2022-02-14,413.0823059082031,116.51020050048828
2022-02-15,419.74395751953125,115.1875
2022-02-16,420.2145080566406,115.87017059326172
2022-02-17,411.2380676269531,116.73204803466797
2022-02-18,408.5753173828125,117.9609146118164
2022-02-22,404.19073486328125,118.26811218261719
2022-02-23,397.02081298828125,116.63817596435547
2022-02-24,402.9956970214844,116.71501922607422
2022-02-25,411.8872985839844,116.80030822753906
2022-02-28,410.83355712890625,119.3604507446289
2022-03-01,404.5763854980469,120.74052429199219
2022-03-02,412.0190734863281,116.61323547363281
2022-03-03,409.9677734375,117.80098724365234
2022-03-04,406.63702392578125,119.834716796875
2022-03-07,394.6496887207031,118.92035675048828
2022-03-08,391.6575012207031,117.72407531738281
2022-03-09,402.1582336425781,116.57047271728516
2022-03-10,400.34222412109375,114.89571380615234
2022-03-11,395.2518310546875,115.28022766113281
2022-03-14,392.3631591796875,112.58853912353516
2022-03-15,400.99151611328125,112.39198303222656
2022-03-16,409.8831787109375,113.49433898925781
2022-03-17,415.01123046875,112.64834594726562
2022-03-18,419.5567321777344,114.02412414550781
2022-03-21,419.43402099609375,111.38371276855469
2022-03-22,424.342041015625,109.95668029785156
2022-03-23,418.8770751953125,112.36637878417969
2022-03-24,425.1914367675781,111.48625183105469
2022-03-25,427.2678527832031,109.93961334228516
2022-03-28,430.3070983886719,110.8795394897461
2022-03-29,435.6303405761719,111.71697235107422
2022-03-30,432.9403991699219,112.58853912353516
2022-03-31,426.27685546875,112.86199951171875
2022-04-01,427.4849853515625,113.2916259765625
2022-04-04,431.14703369140625,112.5042724609375
2022-04-05,425.70111083984375,109.96248626708984
2022-04-06,421.4443359375,109.07247161865234
2022-04-07,423.5680236816406,108.25091552734375
2022-04-08,422.4354553222656,107.07846069335938
2022-04-11,415.2150573730469,105.38395690917969
2022-04-12,413.6765441894531,105.23846435546875
2022-04-13,418.4146423339844,105.45240020751953
2022-04-14,413.2047119140625,103.33856964111328
2022-04-18,413.3746032714844,102.82508087158203
2022-04-19,420.0474853515625,102.05487823486328
2022-04-20,419.7359619140625,104.10882568359375
2022-04-21,413.45947265625,103.33856964111328
2022-04-22,402.11456298828125,102.68815612792969
